Estacao;Valor;Valor_D-1;m_postos;Incosistente;Area;P100;P95;P90
2;1.5;8.01;2.14;0;210000;27.79;11.43;8.61
2;4.55;1.5;9.75;0;210000;27.79;11.43;8.61
2;32.12;4.55;18.53;0;210000;27.79;11.43;8.61
2;2.4;32.12;4.08;0;210000;27.79;11.43;8.61
2;7.65;2.4;3.36;0;210000;27.79;11.43;8.61
2;2.65;7.65;2.79;0;210000;27.79;11.43;8.61
2;10.26;2.65;5.95;0;210000;27.79;11.43;8.61
2;3.31;10.26;8.67;0;210000;27.79;11.43;8.61
2;0.35;3.31;1.31;0;210000;27.79;11.43;8.61
2;2.58;0.35;3;0;210000;27.79;11.43;8.61
2;4;2.58;0.76;0;210000;27.79;11.43;8.61
2;1.86;4;0.51;0;210000;27.79;11.43;8.61
2;5.21;1.86;8.04;0;210000;27.79;11.43;8.61
2;3.13;5.21;2;0;210000;27.79;11.43;8.61
2;0.58;3.13;1.05;0;210000;27.79;11.43;8.61
2;3.99;0.58;1.55;0;210000;27.79;11.43;8.61
2;2.04;3.99;1.99;0;210000;27.79;11.43;8.61
2;0.37;2.04;1.49;0;210000;27.79;11.43;8.61
2;0.37;0.37;0.25;0;210000;27.79;11.43;8.61
2;1;0.37;0.63;0;210000;27.79;11.43;8.61
2;2.47;1;0;0;210000;27.79;11.43;8.61
2;0.38;2.47;1.46;0;210000;27.79;11.43;8.61
2;0.49;0.38;0.46;0;210000;27.79;11.43;8.61
2;0.83;0.49;0;0;210000;27.79;11.43;8.61
2;3.17;0.83;0.73;0;210000;27.79;11.43;8.61
2;0.08;3.17;0.92;0;210000;27.79;11.43;8.61
2;1.77;0.08;0.53;0;210000;27.79;11.43;8.61
2;1.83;1.77;2.71;0;210000;27.79;11.43;8.61
2;0.2;1.83;0.55;0;210000;27.79;11.43;8.61
2;0.31;0.2;0;0;210000;27.79;11.43;8.61
2;0.4;0.31;0;0;210000;27.79;11.43;8.61
2;0.48;0.4;0.4;0;210000;27.79;11.43;8.61
2;0.08;0.48;0;0;210000;27.79;11.43;8.61
2;0.42;0.08;0;0;210000;27.79;11.43;8.61
2;0.25;0.42;0.47;0;210000;27.79;11.43;8.61
2;0.7;0.25;0.09;0;210000;27.79;11.43;8.61
2;3.27;0.7;1.68;0;210000;27.79;11.43;8.61
2;10.46;3.27;3.25;0;210000;27.79;11.43;8.61
2;7.08;10.46;3.23;0;210000;27.79;11.43;8.61
2;0.42;7.08;1.4;0;210000;27.79;11.43;8.61
2;0.52;0.42;0.29;0;210000;27.79;11.43;8.61
2;0.98;0.52;2.73;0;210000;27.79;11.43;8.61
2;0.37;0.98;0;0;210000;27.79;11.43;8.61
2;0.49;0.37;0.23;0;210000;27.79;11.43;8.61
2;0.52;0.49;0.07;0;210000;27.79;11.43;8.61
2;0.34;0.52;0.15;0;210000;27.79;11.43;8.61
2;0.24;0.34;0;0;210000;27.79;11.43;8.61
2;0.08;0.24;0.52;0;210000;27.79;11.43;8.61
2;0.31;0.08;0.01;0;210000;27.79;11.43;8.61
2;0;0.31;0;0;210000;27.79;11.43;8.61
2;0;0;0;0;210000;27.79;11.43;8.61
2;0.01;0;0;0;210000;27.79;11.43;8.61
2;0;0.01;0;0;210000;27.79;11.43;8.61
2;0.03;0;0;0;210000;27.79;11.43;8.61
2;0;0.03;0;0;210000;27.79;11.43;8.61
2;0.14;0;0;0;210000;27.79;11.43;8.61
2;0;0.14;0;0;210000;27.79;11.43;8.61
2;0;0;0;0;210000;27.79;11.43;8.61
2;0;0;0;0;210000;27.79;11.43;8.61
2;0.4;0;0;0;210000;27.79;11.43;8.61
2;0.05;0.4;0;0;210000;27.79;11.43;8.61
2;0.01;0.05;0;0;210000;27.79;11.43;8.61
2;0.01;0.01;0;0;210000;27.79;11.43;8.61
2;0;0.01;0;0;210000;27.79;11.43;8.61
2;0;0;0;0;210000;27.79;11.43;8.61
2;0.01;0;0;0;210000;27.79;11.43;8.61
2;0;0.01;0;0;210000;27.79;11.43;8.61
2;0;0;0;0;210000;27.79;11.43;8.61
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.04;0;0;0;210000;16.54;1.92;0.59
3;0;0.04;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.01;0;0;0;210000;16.54;1.92;0.59
3;0.01;0.01;0;0;210000;16.54;1.92;0.59
3;0.02;0.01;0;0;210000;16.54;1.92;0.59
3;0.77;0.02;0.04;0;210000;16.54;1.92;0.59
3;3.49;0.77;0.31;0;210000;16.54;1.92;0.59
3;5.17;3.49;0;0;210000;16.54;1.92;0.59
3;1.22;5.17;0;0;210000;16.54;1.92;0.59
3;0.45;1.22;0;0;210000;16.54;1.92;0.59
3;0.04;0.45;0;0;210000;16.54;1.92;0.59
3;0.01;0.04;0;0;210000;16.54;1.92;0.59
3;0;0.01;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.01;0;0;0;210000;16.54;1.92;0.59
3;0.09;0.01;0;0;210000;16.54;1.92;0.59
3;0;0.09;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0;0;0;0;210000;16.54;1.92;0.59
3;0.02;0;0;0;210000;16.54;1.92;0.59
3;0.02;0.02;0;0;210000;16.54;1.92;0.59
3;0.01;0.02;0;0;210000;16.54;1.92;0.59
3;0.01;0.01;0;0;210000;16.54;1.92;0.59
3;0.01;0.01;0;0;210000;16.54;1.92;0.59
3;0.01;0.01;0;0;210000;16.54;1.92;0.59
3;0;0.01;0;0;210000;16.54;1.92;0.59
3;0.01;0;0;0;210000;16.54;1.92;0.59
3;0;0.01;0;0;210000;16.54;1.92;0.59
3;0.02;0;0;0;210000;16.54;1.92;0.59
3;0.07;0.02;0;0;210000;16.54;1.92;0.59
3;0.08;0.07;0;0;210000;16.54;1.92;0.59
3;2.48;0.08;0;0;210000;16.54;1.92;0.59
3;0.26;2.48;0.05;0;210000;16.54;1.92;0.59
3;0.09;0.26;0;0;210000;16.54;1.92;0.59
3;0.14;0.09;0.21;0;210000;16.54;1.92;0.59
3;0.06;0.14;0;0;210000;16.54;1.92;0.59
3;0;0.06;0;0;210000;16.54;1.92;0.59
